id,en,la,ru,topic,aliases
FJ1252,Gingiva of upper jaw,Gingiva,Десна верхней челюсти,other,десна
FJ1253,Gingiva of lower jaw,Gingiva,Десна нижней челюсти,other,десна
FJ1254,Left lower first secondary molar tooth,Dens molaris primus inferior,Нижний первый моляр,teeth,
FJ1255,Left lower first secondary premolar tooth,Dens premolaris primus inferior,Нижний первый премоляр,teeth,
FJ1256,Left lower second secondary molar tooth,Dens molaris secundus inferior,Нижний второй моляр,teeth,
FJ1257,Left lower second secondary premolar tooth,Dens premolaris secundus inferior,Нижний второй премоляр,teeth,
FJ1258,Left lower central secondary incisor tooth,Dens incisivus medialis inferior,Нижний медиальный резец,teeth,dens incisivus centralis;центральный резец
FJ1259,Left lower lateral secondary incisor tooth,Dens incisivus lateralis inferior,Нижний латеральный резец,teeth,
FJ1260,Left lower secondary canine tooth,Dens caninus inferior,Нижний клык,teeth,
FJ1261,Left upper first secondary molar tooth,Dens molaris primus superior,Верхний первый моляр,teeth,
FJ1262,Left upper first secondary premolar tooth,Dens premolaris primus superior,Верхний первый премоляр,teeth,
FJ1263,Left upper second secondary molar tooth,Dens molaris secundus superior,Верхний второй моляр,teeth,
FJ1264,Left upper second secondary premolar tooth,Dens premolaris secundus superior,Верхний второй премоляр,teeth,
FJ1265,Left upper central secondary incisor tooth,Dens incisivus medialis superior,Верхний медиальный резец,teeth,dens incisivus centralis;центральный резец
FJ1266,Left upper lateral secondary incisor tooth,Dens incisivus lateralis superior,Верхний латеральный резец,teeth,
FJ1267,Left upper secondary canine tooth,Dens caninus superior,Верхний клык,teeth,
FJ1268,Right lower first secondary molar tooth,Dens molaris primus inferior,Нижний первый моляр,teeth,
FJ1269,Right lower first secondary premolar tooth,Dens premolaris primus inferior,Нижний первый премоляр,teeth,
FJ1270,Right lower second secondary molar tooth,Dens molaris secundus inferior,Нижний второй моляр,teeth,
FJ1271,Right lower second secondary premolar tooth,Dens premolaris secundus inferior,Нижний второй премоляр,teeth,
FJ1272,Right lower central secondary incisor tooth,Dens incisivus medialis inferior,Нижний медиальный резец,teeth,dens incisivus centralis;центральный резец
FJ1273,Right lower lateral secondary incisor tooth,Dens incisivus lateralis inferior,Нижний латеральный резец,teeth,
FJ1274,Right lower secondary canine tooth,Dens caninus inferior,Нижний клык,teeth,
FJ1275,Right upper second secondary molar tooth,Dens molaris secundus superior,Верхний второй моляр,teeth,
FJ1276,Right upper first secondary molar tooth,Dens molaris primus superior,Верхний первый моляр,teeth,
FJ1277,Right upper first secondary premolar tooth,Dens premolaris primus superior,Верхний первый премоляр,teeth,
FJ1278,Right upper second secondary premolar tooth,Dens premolaris secundus superior,Верхний второй премоляр,teeth,
FJ1279,Right upper central secondary incisor tooth,Dens incisivus medialis superior,Верхний медиальный резец,teeth,dens incisivus centralis;центральный резец
FJ1280,Right upper lateral secondary incisor tooth,Dens incisivus lateralis superior,Верхний латеральный резец,teeth,
FJ1281,Right upper secondary canine tooth,Dens caninus superior,Верхний клык,teeth,
FJ2440,Cricoid cartilage,Cartilago cricoidea,Перстневидный хрящ,larynx-cartilages,
FJ2554,Right major alar cartilage,Cartilago alaris major,Большой хрящ крыла носа,larynx-cartilages,большой хрящ крыла
FJ2555,Left major alar cartilage,Cartilago alaris major,Большой хрящ крыла носа,larynx-cartilages,большой хрящ крыла
FJ2769,Cricoid cartilage,Cartilago cricoidea,Перстневидный хрящ,larynx-cartilages,
FJ2772,Hyoid bone,Os hyoideum,Подъязычная кость,skull-facial,подъязычная
